epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/scoreboards,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
33,169,,,,,,,,,,,,,,,,,,,,,,0.9119179248809814,1.0,1.0,0.9440149664878845,0.9666666388511658,1.9986754655838013,1.0,0.9119179248809814,1.0,0.9333333373069763,1.0,1.0
33,169,3760.987548828125,3817.38134765625,3876.706298828125,3868.88134765625,0.0,2.334012508392334,0.01036353874951601,0.011096248403191566,0.011133469641208649,0.027463603764772415,0.277940034866333,0.31629928946495056,0.2851877212524414,0.4303947985172272,0.07806982845067978,0.07594664394855499,0.07927174866199493,0.12866534292697906,,,,,,,,,,,,,,,
34,174,,,,,,,,,,,,,,,,,,,,,,0.9418053030967712,1.0,1.0,0.9767225980758667,0.9822221994400024,1.471798300743103,1.0,0.9418053030967712,1.0,0.9666666388511658,1.0,1.0
34,174,3745.231201171875,3814.94384765625,3868.875,3874.72509765625,0.0,2.167558193206787,0.00803634338080883,0.00909967441111803,0.008558308705687523,0.02079068496823311,0.25881749391555786,0.29261651635169983,0.26832273602485657,0.4132383465766907,0.07239348441362381,0.0758185088634491,0.07494805753231049,0.12790915369987488,,,,,,,,,,,,,,,
35,179,,,,,,,,,,,,,,,,,,,,,,0.9200896620750427,1.0,1.0,0.9775486588478088,0.9866666793823242,1.7625914812088013,1.0,0.9200896620750427,1.0,0.9733333587646484,1.0,1.0
35,179,3758.06884765625,3837.206298828125,3870.41259765625,3874.168701171875,0.0,2.105289936065674,0.009952870197594166,0.009911920875310898,0.011388329789042473,0.02093222551047802,0.25489169359207153,0.2426917552947998,0.25795361399650574,0.37577566504478455,0.07630470395088196,0.07149956375360489,0.07856643944978714,0.13015452027320862,,,,,,,,,,,,,,,
36,184,,,,,,,,,,,,,,,,,,,,,,0.8984315395355225,1.0,1.0,0.9513823986053467,0.9800000190734863,1.7635698318481445,1.0,0.8984315395355225,1.0,0.9688888788223267,1.0,1.0
36,184,3788.83740234375,3839.262451171875,3870.293701171875,3884.606201171875,0.0,1.9218933582305908,0.008683556690812111,0.011998804286122322,0.008635014295578003,0.023196205496788025,0.2294687032699585,0.23417317867279053,0.23217856884002686,0.36590251326560974,0.05964193493127823,0.06229404732584953,0.057355426251888275,0.11950980126857758,,,,,,,,,,,,,,,
37,189,,,,,,,,,,,,,,,,,,,,,,0.9748567342758179,1.0,1.0,0.9648147821426392,0.9888888597488403,1.6237891912460327,1.0,0.9748567342758179,1.0,0.9888888597488403,1.0,1.0
37,189,3802.393798828125,3822.168701171875,3860.612548828125,3880.324951171875,0.0,1.9783403873443604,0.009584295563399792,0.009202614426612854,0.009137419983744621,0.01787509396672249,0.24015149474143982,0.23409923911094666,0.24139566719532013,0.35563230514526367,0.07737739384174347,0.07129906117916107,0.07296742498874664,0.11738835275173187,,,,,,,,,,,,,,,
38,194,,,,,,,,,,,,,,,,,,,,,,0.9209318161010742,1.0,1.0,0.9685045480728149,0.995555579662323,1.5383961200714111,1.0,0.9209318161010742,1.0,0.9822221994400024,1.0,1.0
